"","actor_id","target_case","case","case_code","ascribed_power_norm","ascribed_power","bet","bet_norm","triangle_count_pos_norm","triangle_count_norm","triangle_count","triangle_count_pos","ego_inclusion","deg","deg_pos","deg_norm","type","type_reduced","all_na","achievement","top_target","bet_log","triangle_count_log","deg_log","ascribed_power_log","bet_zero","triangle_count_zero","ascribed_power_zero"
"37","actor 37","Biodiversitat_RE","Reussebene","RE",32.5,7,10.1773639850119,3.92804064165765,1,9.25,9,0,3,0,0,1,"Municipality","Municipality","no",2,"Biodiversitat",1.36814073709288,2.22462355152433,-Inf,3.48124008933569,"abovezero","abovezero","abovezero"
"38","actor 38","Biodiversitat_RE","Reussebene","RE",46,10,6.1968253968254,2.78283459625521,1,2.83333333333333,2,0,NA,0,0,1,"Municipality","Municipality","no",3,"Biodiversitat",1.02347004716458,1.04145387482816,-Inf,3.8286413964891,"abovezero","abovezero","abovezero"
"39","actor 39","Biodiversitat_RE","Reussebene","RE",50.5,11,0.722222222222222,1.20778425750413,1,3.75,3,0,3,0,0,1,"Municipality","Municipality","no",2,"Biodiversitat",0.188787488781327,1.32175583998232,-Inf,3.92197333628131,"abovezero","abovezero","abovezero"
"40","actor 40","Biodiversitat_RE","Reussebene","RE",37,8,24.8198398949306,8.14069969776244,1,27.5833333333333,29,0,3,0,0,1,"NGO_organization_association","NGO_organization_association","no",2,"Biodiversitat",2.09687613427635,3.31721172558906,-Inf,3.61091791264422,"abovezero","abovezero","abovezero"
"41","actor 41","Biodiversitat_RE","Reussebene","RE",5.5,1,54.4923967528622,16.6775322754193,1,27.5833333333333,29,0,1,0,0,1,"Other","Other","no",2,"Biodiversitat",2.81406244086689,3.31721172558906,-Inf,1.70474809223843,"abovezero","abovezero","abovezero"
"42","actor 42","Biodiversitat_RE","Reussebene","RE",37,8,0,1,29.6578947368421,39.5,42,11,3,11,11,29.6578947368421,"Canton_AG","higher_admin","no",3,"Biodiversitat",0,3.67630067190708,2.39789527279837,3.61091791264422,"zero","abovezero","abovezero"
"43","actor 43","Biodiversitat_RE","Reussebene","RE",10,2,0.666666666666667,1.19180085308074,1,1,0,0,4,0,0,1,"Other","Other","no",NA,"Biodiversitat",0.175465485122342,0,-Inf,2.30258509299405,"abovezero","zero","abovezero"
"44","actor 44","Biodiversitat_RE","Reussebene","RE",1,0,21.1681318681319,7.09009862564978,1,1.91666666666667,1,0,NA,0,0,1,"NGO_organization_association","NGO_organization_association","yes",2,"Biodiversitat",1.95869925097617,0.650587566141149,-Inf,0,"abovezero","abovezero","zero"
"45","actor 45","Erholungswert_RE","Reussebene","RE",41.5,9,14.7569892096208,5.24560467896271,1,32.1666666666667,34,0,4,0,0,1,"Municipality","Municipality","no",3,"Erholungswert",1.65739052194543,3.47093071967683,-Inf,3.72569342723665,"abovezero","abovezero","abovezero"
"46","actor 46","Hochwasserschutz_RE","Reussebene","RE",50.5,11,18.5319264069264,6.33165894111683,1,9.25,9,0,4,0,0,1,"Canton_ZG","higher_admin","no",3,"Hochwasserschutz",1.84556227782599,2.22462355152433,-Inf,3.92197333628131,"abovezero","abovezero","abovezero"
